	geneId	group	sample	cateRange	typeMethy	median	mean	std
0	105616398	A	A0316	Distal	amd	51.428715	54.04172	23.431279013101744
1	105616398	A	A0351	Distal	amd	52.024464	57.576042	25.674707268209698
2	105616398	A	AH003	Distal	amd	53.82	54.260944	26.298239222304385
3	105616398	B	B0316	Distal	amd	50.238	52.688908	28.42601388481002
4	105616398	B	B0351	Distal	amd	50.0	50.759323	28.452505570357886
5	105616398	B	BH003	Distal	amd	51.041252	54.530014	29.777783709999476
6	105616398	C	C0316	Distal	amd	56.904762	56.970943	24.62944552861443
7	105616398	C	C0351	Distal	amd	57.396248	56.118256	25.415564959591563
8	105616398	C	CH003	Distal	amd	61.257675	59.504425	26.258555389083394
9	105616398	D	D0316	Distal	amd	60.416252	61.205242	27.74413382509596
10	105616398	D	D0351	Distal	amd	53.213333	54.062767	26.92293882078582
11	105616398	D	DH003	Distal	amd	50.0	53.127052	26.753578880058512
