	geneId	group	sample	cateRange	typeMethy	count	mean	std	min	25%	50%	75%	max
0	101108002	A	A0316	Distal	hmd	180.0	78.814125	18.125612	10.0	69.27125	84.57	91.868744	100.0
1	101108002	A	A0351	Distal	hmd	180.0	82.47967	17.671068	20.0	76.49563	88.761665	94.445	100.0
2	101108002	A	AH003	Distal	hmd	180.0	84.71148	16.616285	28.125	81.18562	90.91	95.455	100.0
3	101108002	B	B0316	Distal	hmd	180.0	82.4475	19.701586	0.0	76.962494	90.0	95.28025	100.0
4	101108002	B	B0351	Distal	hmd	180.0	85.65534	17.457365	0.0	81.78125	90.94125	96.43	100.0
5	101108002	B	BH003	Distal	hmd	180.0	85.34321	16.89698	0.0	83.761246	90.35	95.39125	100.0
6	101108002	C	C0316	Distal	hmd	180.0	80.546776	18.711725	16.665	71.13875	86.777	94.59115	100.0
7	101108002	C	C0351	Distal	hmd	180.0	83.71603	16.487566	16.666666	77.67438	88.463745	95.455	100.0
8	101108002	C	CH003	Distal	hmd	180.0	85.948944	16.71391	23.53	83.64625	92.105	96.75625	100.0
9	101108002	D	D0316	Distal	hmd	180.0	81.53814	21.260904	0.0	76.745	89.33833	95.29375	100.0
10	101108002	D	D0351	Distal	hmd	180.0	81.843575	19.775026	0.0	77.71	87.975006	94.445	100.0
11	101108002	D	DH003	Distal	hmd	180.0	82.02685	19.952642	0.0	75.0	88.76459	94.23167	100.0
0	106990386	A	A0316	Body	hmd	6.0	32.575756	21.980455	5.0	18.75	30.833334	43.257576	66.666664
1	106990386	A	A0316	Body	pmd	14.0	41.528778	16.070417	16.666666	29.1675	40.0	50.0	71.42857
2	106990386	A	A0316	Distal	hmd	52.0	66.57402	20.854103	25.0	50.0	65.15083	83.333755	100.0
3	106990386	A	A0316	Distal	lmr	3.0	41.308926	30.2992	13.094286	25.297142	37.5	55.41625	73.3325
4	106990386	A	A0316	Distal	pmd	68.0	55.083317	23.74522	16.666666	34.45175	49.583	75.01938	100.0
5	106990386	A	A0316	Distal	umr	15.0	48.062565	28.734118	10.0	27.556818	45.0	66.57403	100.0
6	106990386	A	A0316	Upstream	hmd	11.0	55.15156	21.597094	28.571428	40.9165	50.0	72.02338	86.756
7	106990386	A	A0316	Upstream	pmd	14.0	73.64735	25.475605	25.0	56.649376	81.30063	95.82979	100.0
8	106990386	A	A0351	Body	hmd	6.0	41.99506	21.570475	13.334	27.083332	41.666664	60.227272	66.666664
9	106990386	A	A0351	Body	pmd	14.0	40.82501	21.02351	16.666666	25.0	36.25	52.3075	85.71429
10	106990386	A	A0351	Distal	hmd	52.0	67.003685	22.480223	25.0	50.0	63.380627	87.5	100.0
11	106990386	A	A0351	Distal	lmr	3.0	52.976192	28.026804	21.428572	41.964287	62.5	68.75	75.0
