	geneId	group	sample	cateRange	typeMethy	median	mean	std
0	106990386	A	A0316	Body	hmd	30.833334	32.575756	21.980456323046386
1	106990386	A	A0316	Body	pmd	40.0	41.528774	16.070417317832625
2	106990386	A	A0316	Distal	hmd	65.15083	66.57401	20.854101376339077
3	106990386	A	A0316	Distal	lmr	37.5	41.308926	30.299198886368984
4	106990386	A	A0316	Distal	pmd	49.583	55.08332	23.74521960639989
5	106990386	A	A0316	Distal	umr	45.0	48.062565	28.734120623662324
6	106990386	A	A0316	Upstream	hmd	50.0	55.15156	21.597093365820058
7	106990386	A	A0316	Upstream	pmd	81.30063	73.64735	25.47560414327464
8	106990386	A	A0351	Body	hmd	41.666664	41.99506	21.57047579038752
9	106990386	A	A0351	Body	pmd	36.25	40.82501	21.02351022979595
10	106990386	A	A0351	Distal	hmd	63.380627	67.003685	22.480221731988085
11	106990386	A	A0351	Distal	lmr	62.5	52.976192	28.02680310139257
12	106990386	A	A0351	Distal	pmd	52.726997	59.632896	27.19757424377244
13	106990386	A	A0351	Distal	umr	50.000626	46.943893	28.19816533267169
14	106990386	A	A0351	Upstream	hmd	50.0	57.75268	25.861051105195767
15	106990386	A	A0351	Upstream	pmd	80.777084	68.86555	25.274434901936466
16	106990386	A	AH003	Body	hmd	38.62417	36.21446	18.119316794274532
17	106990386	A	AH003	Body	pmd	36.8675	40.303596	19.994116857722936
18	106990386	A	AH003	Distal	hmd	63.121944	64.218735	23.342137180430655
19	106990386	A	AH003	Distal	lmr	35.625	49.791668	34.15459644518338
20	106990386	A	AH003	Distal	pmd	48.213753	55.09012	25.281452415791303
21	106990386	A	AH003	Distal	umr	42.1875	51.556114	26.3297696612216
22	106990386	A	AH003	Upstream	hmd	48.0	54.727848	21.441975239992548
23	106990386	A	AH003	Upstream	pmd	75.33792	67.62295	26.094184913621955
24	106990386	B	B0316	Body	hmd	35.984848	40.722946	11.518418892689832
25	106990386	B	B0316	Body	pmd	36.45875	46.149918	22.582459540595142
26	106990386	B	B0316	Distal	hmd	50.0	56.64927	23.67006678225776
27	106990386	B	B0316	Distal	lmr	0.0	23.667	33.04934832266156
28	106990386	B	B0316	Distal	pmd	58.3345	56.5746	27.676102534059567
29	106990386	B	B0316	Upstream	hmd	73.25	65.91671	23.94223999458912
30	106990386	B	B0316	Upstream	pmd	61.11	63.097527	21.933458934740276
31	106990386	B	B0351	Body	hmd	37.121212	39.289566	7.735649283386881
32	106990386	B	B0351	Body	pmd	35.714287	41.272915	21.42720454694715
33	106990386	B	B0351	Distal	hmd	50.0	56.65036	23.826806298210442
34	106990386	B	B0351	Distal	lmr	0.0	20.639	32.31187442189498
35	106990386	B	B0351	Distal	pmd	56.946877	57.17012	29.085850466505807
36	106990386	B	B0351	Upstream	hmd	79.501	71.24329	24.096106761507112
37	106990386	B	B0351	Upstream	pmd	76.145	64.38128	24.4576972375742
38	106990386	B	BH003	Body	hmd	37.49979	38.446865	6.103781153328216
39	106990386	B	BH003	Body	pmd	35.714287	44.497417	24.9172976383521
40	106990386	B	BH003	Distal	hmd	50.0	58.392338	24.535599227663276
41	106990386	B	BH003	Distal	lmr	0.0	24.0	33.61547262794322
42	106990386	B	BH003	Distal	pmd	56.77475	57.313084	27.68784597559401
43	106990386	B	BH003	Upstream	hmd	77.5	73.645836	21.487064385026216
44	106990386	B	BH003	Upstream	pmd	70.21167	63.153595	20.264479570136064
45	106990386	C	C0316	Body	hmd	50.833336	50.045963	28.60836245608323
46	106990386	C	C0316	Body	lmr	32.270386	32.270386	22.741097500821834
47	106990386	C	C0316	Distal	hmd	73.72833	68.99409	21.868567724833937
48	106990386	C	C0316	Distal	lmr	41.45875	47.648754	35.0856970872327
49	106990386	C	C0316	Distal	pmd	61.087364	58.497074	25.422380206541476
50	106990386	C	C0316	Distal	umr	42.256874	46.408356	23.580701524793625
51	106990386	C	C0316	Upstream	hmd	64.58375	65.13084	22.657459634304935
52	106990386	C	C0351	Body	hmd	46.309105	47.278263	25.51616959109251
53	106990386	C	C0351	Body	lmr	49.14977	49.14977	9.166606422428822
54	106990386	C	C0351	Distal	hmd	72.9175	67.38086	21.4989181221694
55	106990386	C	C0351	Distal	lmr	26.875	41.08798	28.742046321414833
56	106990386	C	C0351	Distal	pmd	64.113754	59.43411	24.44779487159695
57	106990386	C	C0351	Distal	umr	57.241943	50.338806	21.294429227722066
58	106990386	C	C0351	Upstream	hmd	66.66625	64.30324	20.448592775876687
59	106990386	C	CH003	Body	hmd	50.0	52.411087	27.305274247501732
60	106990386	C	CH003	Body	lmr	64.61539	64.61539	6.527137443723281
61	106990386	C	CH003	Distal	hmd	75.0	71.27387	21.894513533613228
62	106990386	C	CH003	Distal	lmr	87.5	71.2306	31.85682032814059
63	106990386	C	CH003	Distal	pmd	64.4025	61.505962	24.3554397110741
64	106990386	C	CH003	Distal	umr	77.47	69.463264	22.912559119057043
65	106990386	C	CH003	Upstream	hmd	70.83375	66.71893	24.183308060380185
66	106990386	D	D0316	Body	hmd	66.666664	67.19808	24.428572484655497
67	106990386	D	D0316	Body	pmd	50.0	55.648148	21.464513186467727
68	106990386	D	D0316	Distal	hmd	70.0	61.688137	27.598770405472088
69	106990386	D	D0316	Distal	lmr	42.857143	41.36905	28.15451023174047
70	106990386	D	D0316	Distal	pmd	60.5	59.741783	29.03211806156922
71	106990386	D	D0316	Upstream	hmd	54.204643	63.85743	21.7714959806707
72	106990386	D	D0316	Upstream	pmd	72.05125	62.73557	28.092666389771146
73	106990386	D	D0351	Body	hmd	64.58375	61.34808	22.559469699574954
74	106990386	D	D0351	Body	pmd	48.214287	49.040634	19.187437244487597
75	106990386	D	D0351	Distal	hmd	61.0	58.3115	24.311927586017205
76	106990386	D	D0351	Distal	lmr	12.5	31.720596	33.51274844761569
77	106990386	D	D0351	Distal	pmd	59.58375	58.88896	28.107019788155846
78	106990386	D	D0351	Upstream	hmd	53.067383	58.235878	21.926276362181422
79	106990386	D	D0351	Upstream	pmd	62.7	57.045094	25.153257105563224
80	106990386	D	DH003	Body	hmd	61.90333	62.491867	17.238913976216324
81	106990386	D	DH003	Body	pmd	44.61643	47.601906	18.98739762336631
82	106990386	D	DH003	Distal	hmd	58.5	58.87352	26.430106287223204
83	106990386	D	DH003	Distal	lmr	20.347143	28.148214	27.879695226984566
84	106990386	D	DH003	Distal	pmd	54.58375	53.013752	27.41868505678695
85	106990386	D	DH003	Upstream	hmd	54.610954	55.840717	19.999187439185615
86	106990386	D	DH003	Upstream	pmd	62.856667	58.35212	27.690550953870027
