seqnames	start	end	width	name
chr1	2883410	2884364	955	CpG:_86
chr1	10354303	10354720	418	CpG:_34
chr1	14285853	14287213	1361	CpG:_148
chr1	17170257	17170504	248	CpG:_25
chr1	24638873	24647172	8300	CpG:_565
chr1	70516343	70517013	671	CpG:_98
chr1	112711926	112723533	11608	CpG:_888
chr1	204209494	204210264	771	CpG:_66
chr1	244186057	244187424	1368	CpG:_124
chr1	253231012	253231985	974	CpG:_111
chr1	271056510	271057276	767	CpG:_60
chr1	271843162	271844050	889	CpG:_76
chr1	1461	2659	1199	CpG:_123
chr1	14337	14688	352	CpG:_26
chr1	27837	28055	219	CpG:_17
chr1	43409	43851	443	CpG:_39
chr1	52478	52739	262	CpG:_24
chr1	54389	54752	364	CpG:_38
chr1	56259	57303	1045	CpG:_73
chr1	58797	59219	423	CpG:_34
chr1	63013	64148	1136	CpG:_105
chr1	69659	70177	519	CpG:_54
chr1	71784	73798	2015	CpG:_174
chr1	74455	74717	263	CpG:_25
chr1	75308	75765	458	CpG:_38
chr1	79215	79583	369	CpG:_29
chr1	80475	80757	283	CpG:_24
chr1	87210	87550	341	CpG:_30
chr1	88408	88731	324	CpG:_24
chr1	89052	89979	928	CpG:_85
chr1	90691	91017	327	CpG:_30
chr1	92883	94314	1432	CpG:_115
chr1	100300	100586	287	CpG:_24
chr1	101420	101799	380	CpG:_33
chr1	103504	103847	344	CpG:_30
chr1	108899	110402	1504	CpG:_123
chr1	129098	129312	215	CpG:_15
chr1	132895	133213	319	CpG:_26
chr1	135607	136161	555	CpG:_39
chr1	142081	142290	210	CpG:_18
chr1	143474	143869	396	CpG:_35
chr1	147372	148009	638	CpG:_50
chr1	148889	149109	221	CpG:_17
chr1	153737	153967	231	CpG:_21
chr1	157158	158439	1282	CpG:_129
chr1	160653	165872	5220	CpG:_353
chr1	167399	168138	740	CpG:_53
chr1	170428	171134	707	CpG:_66
chr1	177539	177798	260	CpG:_17
chr1	178011	178908	898	CpG:_103
chr1	184828	186103	1276	CpG:_138
chr1	188867	189154	288	CpG:_23
chr1	199227	206523	7297	CpG:_476
chr1	206893	207093	201	CpG:_17
chr1	207885	208138	254	CpG:_22
chr1	211727	215936	4210	CpG:_443
chr1	219333	220334	1002	CpG:_84
chr1	227091	230270	3180	CpG:_226
chr1	230442	230648	207	CpG:_17
chr1	231153	231408	256	CpG:_23
chr1	232202	232625	424	CpG:_37
chr1	238630	239461	832	CpG:_67
chr1	247354	247687	334	CpG:_29
chr1	248658	248954	297	CpG:_25
chr1	260727	261478	752	CpG:_52
chr1	262839	263041	203	CpG:_20
chr1	266789	268330	1542	CpG:_178
chr1	277585	277840	256	CpG:_21
chr1	280215	280501	287	CpG:_26
chr1	283821	284090	270	CpG:_21
chr1	290994	291583	590	CpG:_68
chr1	291956	292272	317	CpG:_27
chr1	295513	295847	335	CpG:_29
chr1	297034	297415	382	CpG:_32
chr1	305247	306505	1259	CpG:_90
chr1	306913	307115	203	CpG:_20
chr1	311500	312399	900	CpG:_101
chr1	320825	321241	417	CpG:_35
chr1	322391	323137	747	CpG:_55
chr1	325633	328581	2949	CpG:_206
chr1	329699	329958	260	CpG:_19
chr1	334018	334543	526	CpG:_46
chr1	339946	340520	575	CpG:_53
chr1	341025	341302	278	CpG:_21
chr1	341552	342745	1194	CpG:_100
chr1	350921	351195	275	CpG:_34
chr1	352569	352984	416	CpG:_35
chr1	353504	354318	815	CpG:_55
chr1	358959	359226	268	CpG:_21
chr1	364682	365384	703	CpG:_45
chr1	373550	374702	1153	CpG:_102
chr1	384517	384782	266	CpG:_22
chr1	385367	385643	277	CpG:_34
chr1	387772	388950	1179	CpG:_89
chr1	393615	394004	390	CpG:_36
chr1	402342	404193	1852	CpG:_152
chr1	404999	405642	644	CpG:_41
chr1	408671	409510	840	CpG:_73
chr1	413464	414358	895	CpG:_57
chr1	418211	418555	345	CpG:_29
chr1	420164	420985	822	CpG:_54
chr1	431396	433906	2511	CpG:_253
chr1	440931	441610	680	CpG:_45
chr1	442951	443272	322	CpG:_24
chr1	444740	444945	206	CpG:_23
chr1	448302	448529	228	CpG:_28
chr1	451924	452967	1044	CpG:_101
chr1	461571	461927	357	CpG:_36
chr1	463106	463417	312	CpG:_23
chr1	465952	466224	273	CpG:_25
chr1	470360	470688	329	CpG:_25
chr1	473069	474038	970	CpG:_72
chr1	474959	475714	756	CpG:_55
chr1	476724	479189	2466	CpG:_154
chr1	480719	482222	1504	CpG:_102
chr1	484141	485000	860	CpG:_71
chr1	485581	486028	448	CpG:_36
chr1	487346	487676	331	CpG:_24
chr1	488145	490609	2465	CpG:_175
chr1	491891	492114	224	CpG:_20
chr1	492684	492922	239	CpG:_19
chr1	495657	496794	1138	CpG:_136
chr1	499362	499575	214	CpG:_18
chr1	500884	501252	369	CpG:_33
chr1	501512	501766	255	CpG:_25
chr1	502229	503339	1111	CpG:_98
chr1	504165	504660	496	CpG:_40
chr1	505594	505812	219	CpG:_19
chr1	506518	506933	416	CpG:_33
chr1	510547	510770	224	CpG:_18
chr1	511001	513670	2670	CpG:_168
chr1	518031	518555	525	CpG:_39
chr1	519447	519824	378	CpG:_29
chr1	520657	520963	307	CpG:_23
chr1	522412	522739	328	CpG:_25
chr1	526460	527468	1009	CpG:_82
chr1	529939	530211	273	CpG:_25
chr1	530531	531061	531	CpG:_40
chr1	534368	534757	390	CpG:_27
chr1	534985	535232	248	CpG:_19
chr1	535834	537723	1890	CpG:_121
chr1	539527	539727	201	CpG:_17
chr1	540660	540930	271	CpG:_22
chr1	543855	544065	211	CpG:_24
chr1	544715	545294	580	CpG:_78
chr1	545983	546295	313	CpG:_37
chr1	551066	553570	2505	CpG:_184
chr1	561079	563631	2553	CpG:_205
chr1	565046	565599	554	CpG:_44
chr1	568874	569553	680	CpG:_70
chr1	570923	571173	251	CpG:_22
chr1	571415	571939	525	CpG:_37
chr1	586757	587705	949	CpG:_76
chr1	593894	594170	277	CpG:_21
chr1	604720	605043	324	CpG:_30
chr1	609253	610029	777	CpG:_56
chr1	610791	611028	238	CpG:_20
chr1	612494	615661	3168	CpG:_282
chr1	616330	616672	343	CpG:_28
chr1	625170	625433	264	CpG:_20
chr1	625690	626239	550	CpG:_44
chr1	627350	628131	782	CpG:_58
chr1	641737	642280	544	CpG:_52
chr1	642731	642985	255	CpG:_20
chr1	643959	644172	214	CpG:_15
chr1	644997	645232	236	CpG:_30
chr1	664380	665023	644	CpG:_57
chr1	670657	671348	692	CpG:_73
chr1	674614	675223	610	CpG:_49
chr1	677852	678147	296	CpG:_37
chr1	679127	679369	243	CpG:_20
chr1	683735	684106	372	CpG:_29
chr1	689616	690411	796	CpG:_80
chr1	694071	694433	363	CpG:_32
chr1	715687	716684	998	CpG:_75
chr1	718426	718694	269	CpG:_21
chr1	720564	720821	258	CpG:_19
chr1	724428	725464	1037	CpG:_73
chr1	733436	733687	252	CpG:_19
chr1	737508	737761	254	CpG:_22
chr1	738506	738893	388	CpG:_30
chr1	741668	742681	1014	CpG:_72
chr1	744059	744312	254	CpG:_22
chr1	745033	745264	232	CpG:_21
chr1	747041	747293	253	CpG:_22
chr1	765172	765643	472	CpG:_38
chr1	773141	773482	342	CpG:_27
chr1	778944	779538	595	CpG:_51
chr1	782392	782785	394	CpG:_29
chr1	788175	788384	210	CpG:_22
chr1	792917	795917	3001	CpG:_300
chr1	796575	796913	339	CpG:_29
chr1	810511	810878	368	CpG:_27
chr1	811499	811721	223	CpG:_19
chr1	814628	815380	753	CpG:_61
chr1	821848	822324	477	CpG:_35
chr1	824468	824809	342	CpG:_27
chr1	825973	826295	323	CpG:_26
chr1	827359	830811	3453	CpG:_226
chr1	831803	832030	228	CpG:_21
chr1	832824	833102	279	CpG:_26
chr1	834034	834484	451	CpG:_34
chr1	836122	836456	335	CpG:_30
chr1	838899	839308	410	CpG:_30
chr1	840047	840247	201	CpG:_19
chr1	841287	841495	209	CpG:_17
chr1	842494	843955	1462	CpG:_112
chr1	844560	844791	232	CpG:_21
chr1	845727	847355	1629	CpG:_124
chr1	852314	852887	574	CpG:_48
chr1	853593	853974	382	CpG:_31
chr1	855339	855548	210	CpG:_16
chr1	857926	858164	239	CpG:_23
chr1	860893	861123	231	CpG:_20
chr1	871621	872104	484	CpG:_58
chr1	873989	874338	350	CpG:_27
chr1	874952	876107	1156	CpG:_117
chr1	879389	880447	1059	CpG:_82
chr1	895599	898591	2993	CpG:_211
chr1	904903	905136	234	CpG:_21
chr1	908493	908718	226	CpG:_18
chr1	910993	911559	567	CpG:_38
chr1	915510	915920	411	CpG:_34
chr1	919128	919997	870	CpG:_67
chr1	924502	925058	557	CpG:_41
chr1	936679	937162	484	CpG:_44
chr1	938556	938861	306	CpG:_25
chr1	940436	940804	369	CpG:_33
chr1	943848	944115	268	CpG:_25
chr1	944310	945237	928	CpG:_75
chr1	951438	951969	532	CpG:_41
chr1	952781	955391	2611	CpG:_209
chr1	963138	964456	1319	CpG:_138
chr1	970523	970799	277	CpG:_28
chr1	971805	972231	427	CpG:_32
chr1	972498	973003	506	CpG:_45
chr1	978539	978977	439	CpG:_34
chr1	980533	980776	244	CpG:_18
chr1	980950	981160	211	CpG:_16
chr1	982059	983079	1021	CpG:_97
chr1	984501	984877	377	CpG:_40
chr1	987046	987556	511	CpG:_40
chr1	990922	991162	241	CpG:_19
chr1	997314	997653	340	CpG:_22
chr1	1004842	1005055	214	CpG:_19
chr1	1005566	1005925	360	CpG:_27
chr1	1006357	1006570	214	CpG:_19
chr1	1014161	1015399	1239	CpG:_105
chr1	1033432	1033749	318	CpG:_35
chr1	1038390	1038619	230	CpG:_27
chr1	1043189	1043546	358	CpG:_26
chr1	1045366	1045584	219	CpG:_21
chr1	1049059	1050021	963	CpG:_73
chr1	1053004	1054091	1088	CpG:_93
chr1	1058971	1059398	428	CpG:_36
chr1	1060554	1060760	207	CpG:_20
chr1	1061425	1061643	219	CpG:_20
chr1	1063348	1063580	233	CpG:_21
chr1	1065559	1065866	308	CpG:_32
chr1	1066215	1066479	265	CpG:_20
chr1	1068402	1068602	201	CpG:_16
chr1	1073993	1074337	345	CpG:_30
chr1	1076296	1076907	612	CpG:_49
chr1	1087143	1087547	405	CpG:_33
chr1	1095596	1096007	412	CpG:_32
chr1	1097166	1097384	219	CpG:_20
chr1	1103215	1103443	229	CpG:_17
chr1	1112045	1112263	219	CpG:_16
chr1	1122474	1122728	255	CpG:_17
chr1	1129140	1129628	489	CpG:_43
chr1	1133661	1133968	308	CpG:_30
chr1	1169750	1170028	279	CpG:_21
chr1	1170775	1171046	272	CpG:_19
chr1	1173300	1173521	222	CpG:_20
chr1	1176933	1177291	359	CpG:_38
chr1	1179905	1180225	321	CpG:_22
chr1	1191449	1191857	409	CpG:_30
chr1	1210726	1211030	305	CpG:_24
chr1	1218764	1219500	737	CpG:_53
chr1	1222357	1222630	274	CpG:_24
chr1	1224272	1224527	256	CpG:_19
chr1	1228849	1229072	224	CpG:_20
chr1	1267365	1267631	267	CpG:_23
chr1	1269316	1269793	478	CpG:_33
chr1	1271888	1272196	309	CpG:_22
chr1	1447228	1447889	662	CpG:_47
chr1	1472246	1472450	205	CpG:_19
chr1	1477927	1479048	1122	CpG:_117
chr1	1484983	1485674	692	CpG:_53
chr1	1487409	1487875	467	CpG:_36
chr1	1489691	1490152	462	CpG:_37
chr1	1500644	1501029	386	CpG:_32
chr1	1506126	1506487	362	CpG:_29
chr1	1513612	1514259	648	CpG:_49
chr1	1514881	1515244	364	CpG:_29
chr1	1516155	1516671	517	CpG:_42
chr1	1529304	1529578	275	CpG:_22
chr1	1559484	1559801	318	CpG:_29
chr1	1583317	1583935	619	CpG:_46
chr1	1619269	1619648	380	CpG:_34
chr1	1643081	1643847	767	CpG:_60
chr1	1649061	1649317	257	CpG:_21
chr1	1656380	1657506	1127	CpG:_93
chr1	1672724	1673121	398	CpG:_40
chr1	1682238	1682507	270	CpG:_22
chr1	1685792	1686059	268	CpG:_21
chr1	1686174	1686552	379	CpG:_38
chr1	1707780	1708176	397	CpG:_41
chr1	1711966	1712353	388	CpG:_28
chr1	1725976	1726245	270	CpG:_24
chr1	1763818	1764022	205	CpG:_17
chr1	1765884	1766113	230	CpG:_18
chr1	1792075	1792648	574	CpG:_37
chr1	1797286	1797516	231	CpG:_19
chr1	1810269	1810857	589	CpG:_43
chr1	1813682	1813884	203	CpG:_15
chr1	1831344	1831546	203	CpG:_23
chr1	1859601	1859845	245	CpG:_21
chr1	1860434	1860721	288	CpG:_26
chr1	1873818	1874061	244	CpG:_32
chr1	1909805	1911922	2118	CpG:_277
chr1	1914939	1915183	245	CpG:_21
chr1	1918852	1919117	266	CpG:_20
chr1	1919851	1920445	595	CpG:_44
chr1	1922576	1923791	1216	CpG:_108
chr1	1938516	1941343	2828	CpG:_184
chr1	1942271	1942542	272	CpG:_23
chr1	1944030	1944702	673	CpG:_54
chr1	1946907	1947257	351	CpG:_33
chr1	1951822	1952382	561	CpG:_45
chr1	1962477	1962813	337	CpG:_26
chr1	1962924	1963210	287	CpG:_20
chr1	1966209	1966943	735	CpG:_57
chr1	1972786	1973156	371	CpG:_34
chr1	1975080	1976376	1297	CpG:_106
chr1	1981985	1982243	259	CpG:_19
chr1	1984739	1984958	220	CpG:_19
chr1	1985201	1985766	566	CpG:_49
chr1	1986634	1987225	592	CpG:_49
chr1	1991304	1991677	374	CpG:_41
chr1	1994737	1994955	219	CpG:_17
chr1	1995293	1996117	825	CpG:_65
chr1	1997180	1997402	223	CpG:_17
chr1	1997997	1998362	366	CpG:_37
chr1	2000044	2000438	395	CpG:_34
chr1	2000981	2001249	269	CpG:_21
chr1	2006200	2007416	1217	CpG:_82
chr1	2012965	2013352	388	CpG:_34
chr1	2013956	2014451	496	CpG:_65
chr1	2015363	2015731	369	CpG:_30
chr1	2017254	2017504	251	CpG:_23
chr1	2018739	2018989	251	CpG:_22
chr1	2021861	2022484	624	CpG:_56
chr1	2027772	2027992	221	CpG:_26
chr1	2029501	2030336	836	CpG:_76
chr1	2030944	2031364	421	CpG:_32
chr1	2040166	2040410	245	CpG:_20
chr1	2049393	2049922	530	CpG:_39
chr1	2050706	2050975	270	CpG:_22
chr1	2057291	2057615	325	CpG:_23
chr1	2064592	2065308	717	CpG:_56
chr1	2066361	2066751	391	CpG:_29
chr1	2070618	2070838	221	CpG:_20
chr1	2080486	2080693	208	CpG:_25
chr1	2084563	2084770	208	CpG:_19
chr1	2087972	2088206	235	CpG:_29
chr1	2092119	2092657	539	CpG:_60
chr1	2098677	2099390	714	CpG:_67
chr1	2099950	2100179	230	CpG:_20
chr1	2101662	2101969	308	CpG:_28
chr1	2115758	2115968	211	CpG:_17
chr1	2121815	2122183	369	CpG:_31
chr1	2125434	2125713	280	CpG:_22
chr1	2129286	2129504	219	CpG:_17
chr1	2132565	2132825	261	CpG:_22
chr1	2139752	2140441	690	CpG:_56
chr1	2146109	2146855	747	CpG:_60
chr1	2151159	2151375	217	CpG:_18
chr1	2155125	2156223	1099	CpG:_81
chr1	2157061	2157279	219	CpG:_18
chr1	2159711	2160030	320	CpG:_25
chr1	2160823	2161071	249	CpG:_20
chr1	2164666	2165366	701	CpG:_61
chr1	2173739	2174384	646	CpG:_61
chr1	2179563	2180088	526	CpG:_46
chr1	2184306	2184648	343	CpG:_28
chr1	2185244	2186418	1175	CpG:_88
chr1	2187398	2187912	515	CpG:_40
chr1	2195522	2195726	205	CpG:_15
chr1	2196350	2196550	201	CpG:_18
chr1	2197401	2197703	303	CpG:_22
chr1	2197964	2198859	896	CpG:_77
chr1	2201888	2202135	248	CpG:_23
chr1	2206942	2207181	240	CpG:_19
chr1	2223302	2223640	339	CpG:_24
chr1	2230114	2230459	346	CpG:_33
chr1	2277165	2277601	437	CpG:_33
chr1	2280488	2281284	797	CpG:_52
chr1	2298466	2298745	280	CpG:_25
chr1	2309892	2310406	515	CpG:_35
chr1	2311803	2312083	281	CpG:_25
chr1	2316022	2316315	294	CpG:_26
chr1	2317550	2317860	311	CpG:_23
chr1	2321866	2322230	365	CpG:_30
chr1	2328922	2329245	324	CpG:_25
chr1	2330582	2330972	391	CpG:_35
chr1	2334542	2334801	260	CpG:_19
chr1	2344356	2344611	256	CpG:_20
chr1	2366502	2368897	2396	CpG:_240
chr1	2423606	2423907	302	CpG:_22
chr1	2453863	2454110	248	CpG:_18
chr1	2454460	2454748	289	CpG:_21
chr1	2472766	2473002	237	CpG:_21
chr1	2488425	2488642	218	CpG:_16
chr1	2489088	2489324	237	CpG:_22
chr1	2489472	2489706	235	CpG:_20
